FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;N_NIVEAU_FORMATION_DIPLOME.LIBELLE_100;GROUPE_SPECIALITE;N_GROUPE_SPECIALITE.LIBELLE_LONG;LETTRE_SPECIALITE;N_LETTRE_SPECIALITE.LIBELLE_LONG;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;ANCIEN_DIPLOME_1;ANCIEN_DIPLOME_2;ANCIEN_DIPLOME_3;ANCIEN_DIPLOME_4;ANCIEN_DIPLOME_5;ANCIEN_DIPLOME_6;ANCIEN_DIPLOME_7;NOUVEAU_DIPLOME_1;NOUVEAU_DIPLOME_2;NOUVEAU_DIPLOME_3;NOUVEAU_DIPLOME_4;NOUVEAU_DIPLOME_5;NOUVEAU_DIPLOME_6;NOUVEAU_DIPLOME_7;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;N_NATURE_FORMATION_DIPLOME.LIBELLE_100;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;NB_MEF_OUVERT;NB_MEF_FERME;ID_DOCUMENT;CITE_DOMAINE_FORMATION;N_CITE_DOMAINE_FORMATION.LIBELLE_EDITION;DATE_SESSION_RATTRAPAGE;OBSERVATION;N_COMMENTAIRE;CITE_DOMAINE_DETAILLE;N_CITE_2013_DOMAINE_DETAILL.LIBELLE_EDITION;NIVEAU_QUALIFICATION_RNCP;N_NIVEAU_QUALIFICATION_RNCP.LIBELLE_LONG
01025111;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;S;PRODUCTION;521004;MC5;MONTAG.AJUST.SYS.MECA.AUTOM.(MC5);MONTAGE AJUSTAGE DE SYSTEMES MECANIQUES AUTOMATISES (MC NIVEAU V);02/09/1993;31/08/2003;50025120;;;;;;;01025111;;;;;;;N;1994;2002;02/09/1993;31/07/2002;17/01/1994;;;;;;;;;;SA CREATION A ÉTÉ LIEE A L'ABROGATION DU CAP DE MÊME INTITULE (50025120S). REMPLACEE PAR LA MC DE MÊME INTITULE (01025111S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;521;Mécanique et travail du métal;;Mef & Diplôme fermés avec retard d'1 an (Cf date de publication de l'arrêté).;;;;03;NIVEAU 3
01024101;010;MENTION COMPLEMENTAIRE;241;TEXTILE;S;PRODUCTION;522014;MC5;ARMURES COMPLEXES FACONNES (MC5);ARMURES COMPLEXES ET FACONNES (MC AU CAP);19/03/1962;02/09/1992;;;;;;;;;;;;;;;N;1963;1991;19/03/1962;19/05/1989;;;;;;;;;;;;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
50034301;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;343;NETTOYAGE, ASSAIN., PROTECTION ENVIRONMT;T;REALISATION DU SERVICE;501616;CAP;AGENT DE LA QUALITE DE L'EAU;AGENT DE LA QUALITE DE L'EAU (CAP);23/08/1990;;;;;;;;;;;;;;;;O;1992;;23/08/1990;;07/08/1991;24/02/2010;12/06/2015;;;;;;;;;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;02/04/2021;5;1;;850;Protection de l'environnement;;GH unique. PFMP 12 semaines;;0521;Sciences environnementales;03;NIVEAU 3
50025305;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;253;MECANIQUE AERONAUTIQUE ET SPATIALE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;CAP;AERONAUTIQUE OPTION AVIONIQUE;AERONAUTIQUE OPTION AVIONIQUE (CAP);01/09/2014;;50025522;;;;;;;;;;;;;;;2015;;19/08/2013;;12/06/2015;;;;;;;;;;;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;5;1;;525;Véhicules à moteur, construction navale et aeronautique;;GH unique. PFMP 12 semaines. 1ère session avancée pour élèves en bac pro. 3 options : avionique (50025305M), systèmes (50025306M) et structures (50025307M);octobre 2014 : renseignement colonne CITE_DOMAINE_FORMATION;0716;Véhicules à moteur, bateaux et aéronefs;03;NIVEAU 3
50023304;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;233;BATIMENT : FINITIONS;S;PRODUCTION;500527;CAP;ETANCHEITE BATIMENT & TRVX PUBLIC;ETANCHEITE DU BATIMENT ET TRAVAUX PUBLICS (CAP);09/08/1989;31/08/2003;;;;;;;;50023321;;;;;;;O;1991;2003;09/08/1989;25/10/2002;;;;;;;;;;;REMPLACE PAR LE CAP ETANCHEUR DU BÂTIMENT & TRAVAUX PUBLICS (50023321S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;582;Bâtiment et génie civil;;1CAP2 fermé avec retard d'1an (Cf date de publication de l'arrêté).;;;;03;NIVEAU 3
50023105;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;231;MINES ET CARRIERES, GENIE CIVIL, TOPOGR.;S;PRODUCTION;500403;CAP;CONSTRUCTION ENTRETIEN DE ROUTES;CONSTRUCTION ET ENTRETIEN DES ROUTES (CAP);27/05/1992;31/08/2003;;;;;;;;50023115;;;;;;;O;1994;2003;27/05/1992;25/10/2002;07/07/1993;;;;;;;;;;REMPLACE PAR LE CAP CONSTRUCTEUR DE ROUTES (50023115S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;582;Bâtiment et génie civil;;1CAP2 fermé avec retard d'1an (Cf date de publication de l'arrêté).;;;;03;NIVEAU 3
01032304;010;MENTION COMPLEMENTAIRE;323;TECHNIQUES DE IMAGE, SON, SPECTACLE;T;REALISATION DU SERVICE;;MC4;TECHNIC.EQUIPMT AUDIOV.PROF.(MC4);TECHNICIEN DES EQUIPEMENTS AUDIOVISUELS PROFESSIONNELS ( MC NIVEAU IV);01/09/2002;31/08/2006;01025503;;;;;;;;;;;;;;;2003;2006;28/06/2002;29/04/2005;;;;;;;;;;;A REMPLACE LA MC4 DE MÊME INTITULE (01025503R). ABROGEE SANS REMPLACEMENT.;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;213;Techniques audiovisuelles et production média;;Mef ouvert avec retard d'1 an (Cf date de publication de l'arrêté).;;;;04;NIVEAU 4
46322102;463;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 4;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;S;PRODUCTION;;CSA NIV4;TRANSFO PROD CARNES VIANDE/VOLAIL;TRANSFORMATION DES PRODUITS CARNES (OPTION VIANDE ET OPTION VOLAILLE) (CSA);09/06/1999;31/08/2001;;;;;;;;;;;;;;;;2000;2000;09/06/1986;09/06/1999;;;;;;;;;;;JO26/06/86-23/06/99. Remplacé par CSA Transformation des produits carnés sans option. Session de rattrapage 2001;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;10/12/2020;0;0;;541;Traitement des produits alimentaires;;;;;;04;NIVEAU 4
01025110;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;N;CONCEPTION;522709;MC5;DESSINATEUR CONSTRUCT.MECA. (MC5);DESSINATEUR EN CONSTRUCTION MECANIQUE (MC NIVEAU V);18/09/1987;31/08/2004;;;;;;;;;;;;;;;N;1988;2003;18/09/1987;25/07/2003;29/03/1988;12/05/1989;09/08/1989;04/07/1991;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;521;Mécanique et travail du métal;2004;;;;;03;NIVEAU 3
01025109;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;S;PRODUCTION;521089;MC5;MODELEUR MECAN. MAQUETTISTE (MC5);MODELEUR MECANICIEN MAQUETTISTE (MC AUX CAP ET BEP);07/12/1983;31/08/1999;;;;;;;;;;;;;;;N;1985;1999;07/12/1983;12/01/1999;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;521;Mécanique et travail du métal;;Abro. prévue prép.RS98 avec DS98 reportée d'1 an. Mef ferm. 31/8/98 au lieu 99. Consignes aux SSA le 10/7/98 utiliser pour 98-99 Mef MC 25115 devant le remplacer. Or,  NON REMPLACEE selon arr.12/1/99.;;;;03;NIVEAU 3
46321403;463;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 4;214;AMENAGEMENT PAYSAGER (PARCS, ...);S;PRODUCTION;;CSA NIV4;JARDINIER DE GOLF ENTRETIEN SOLS;JARDINIER DE GOLF ET ENTRETIEN DE SOLS SPORTIFS (CSA);01/09/2002;31/08/2012;;;;;;;;;;;;;;;;2003;;;;;;;;;;;;;;RS2002 Mail DGR 19/6/2002 Chgt niv Remplace 56321402 S JARDINIER DE GOLF;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;10/12/2020;0;0;;622;Horticulture;;;;;;04;NIVEAU 4
01025108;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;U;CONDUITE SURVEILLANCE DE MACHINES;521084;MC5;OUTILL.OUT.MOULAG.:AJUSTAGE (MC5);OUTILLEUR EN OUTILS DE MOULAGE OPTION : AJUSTAGE (MC NIVEAU V);06/11/1987;31/08/2004;;;;;;;;;;;;;;;N;1988;2003;06/11/1987;25/07/2003;29/03/1988;12/05/1989;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;521;Mécanique et travail du métal;2004;2 OPTIONS : FRAISAGE (01025107U), AJUSTAGE (01025108U).;;;;03;NIVEAU 3
01025107;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;U;CONDUITE SURVEILLANCE DE MACHINES;521083;MC5;OUTILL.OUT.MOULAG.:FRAISAGE (MC5);OUTILLEUR EN OUTILS DE MOULAGE OPTION : FRAISAGE (MC NIVEAU V);06/11/1987;31/08/2004;;;;;;;;;;;;;;;N;1988;2003;06/11/1987;25/07/2003;29/03/1988;12/05/1989;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;521;Mécanique et travail du métal;2004;2 OPTIONS : FRAISAGE (01025107U), AJUSTAGE (01025108U).;;;;03;NIVEAU 3
56321101;563;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 5;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;S;PRODUCTION;;CSA NIV5;MULTIPLI ELEV PLANTS EN PEPINIERE;MULTIPLICATION ET ELEVAGE DES PLANTS EN PEPINIERE ORNEMENTALE ET FRUITIERE (CSA);15/02/1996;31/08/2001;;;;;;;;;;;;;;;;1985;2000;22/08/1984;09/06/1999;;;;;;;;;;;JO01/09/84-23/06/99. Session de rattrapage en 2001. Non remplacé.;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;10/12/2020;0;0;;622;Horticulture;;;;;;03;NIVEAU 3
51023002;510;BREVET D'ETUDES PROFESSIONNELLES;230;SPEC.PLURITECHNO, GENIE CIVIL, CONSTRUC.;P;ORGANISATION GESTION;;BEP;TECHNIQUES ARCHITECTURE HABITAT;TECHNIQUES DE L'ARCHITECTURE ET DE L'HABITAT (BEP);01/09/2002;31/08/2010;;;;;;;;51023004;;;;;;;;2004;2010;31/07/2002;29/07/2009;25/10/2002;31/07/2003;11/08/2004;;;;;;;;CREATION EX NIHILO. REMPLACE PAR LE BEP ETUDES DU BÂTIMENT (51023004M).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;3;;580;Architecture et bâtiment;;Grille horaire n°3 Production.;;;;03;NIVEAU 3
46321203;463;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 4;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;P;ORGANISATION GESTION;;CSA NIV4;TECH SPEC CONDUITE ELEVAGE BOVIN ;TECHNICIEN SPECIALISE DANS LA CONDUITE DE L'ELEVAGE BOVIN (CSA);29/01/1985;31/08/2001;;;;;;;;;;;;;;;;1985;2000;29/01/1985;09/06/1999;;;;;;;;;;;JO20/02/85-23/06/99. Remplacé par CSA de niv 3 Technicien conseil en production laitiere 363221xx. Session de rattrapage 2001;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;10/12/2020;0;0;;621;Production agricole et animale;;;;;;04;NIVEAU 4
46321101;463;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 4;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;P;ORGANISATION GESTION;;CSA NIV4;GESTION DE L'ENTREPRISE HORTICOLE;GESTION DE L'ENTREPRISE HORTICOLE (CSA);22/08/1984;31/08/2001;;;;;;;;;;;;;;;;1985;2000;22/08/1984;09/06/1999;;;;;;;;;;;JO01/09/84-23/06/99. Session de rattrapage en 2001. Non remplacé.;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;10/12/2020;0;0;;622;Horticulture;;;;;;04;NIVEAU 4
42321005;423;BREVET DE TECHNICIEN AGRICOLE;210;SPEC.PLURIVAL.DE L'AGRONOMIE & AGRICULT.;W;COMMERCIALISATION;;BTA;COM-SERV COMMERCIALISATION;COMMERCIALISATION ET SERVICES SPE COMMERCIALISATION (BTA);18/10/1995;31/08/2005;;;;;;;;;;;;;;;;1997;2005;18/10/1995;;;;;;;;;;;;voir Bac pro 40322102 Nouveau RS 2003 Fin 2003-2004 pour2ème année, session de rattrapage 2005;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;10/12/2020;0;2;;341;Vente en gros et au détail;;;;;;04;NIVEAU 4
36321202;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;P;ORGANISATION GESTION;;CSA NIV3;TECHNIQ ET GEST ENTR PISCICOLE  ;FORMATION AUX TECHNIQUES ET A LA GESTION DE L'ENTREPRISE PISCICOLE (CSA);27/03/1985;31/08/2001;;;;;;;;;;;;;;;;1985;2000;27/03/1985;09/06/1999;;;;;;;;;;;JO11/04/85-23/06/99. Session de rattrapage en 2001. Non remplacé.;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;10/12/2020;0;0;;624;Pêcheries;;;;;;05;NIVEAU 5
55034599;550;SES/SEGPA 3EME A 6EME ANNEE;345;APPLICATN DES DROITS & STATUTS DES PERSO;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;SES 3 A 6;APPLIC.DROITS & STATUTS DES PERS.;APPLICATN DES DROITS & STATUTS DES PERSO;01/09/1996;31/08/2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DGESCO A1-2;10/12/2020;0;4;;380;Droit;;;;;;03;NIVEAU 3
50031115;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;311;TRANSPORT, MANUTENTION, MAGASINAGE;T;REALISATION DU SERVICE;;CAP;TRI ACHEMINEMT DITRIB. COURRIER;TRI, ACHEMINEMENT ET DISTRIBUTION DU COURRIER (CAP);01/09/2000;31/08/2011;50031112;;;;;;;50031120;;;;;;;O;2001;2011;21/10/1999;19/05/2010;07/01/2000;22/02/2001;24/02/2010;;;;;;;;A REMPLACE LE CAP DE MÊME INTITULE (50031112T). REMPLACE PAR LE CAP DISTRIBUTION D'OBJETS ET SERVICES A LA CLIENTELE (50031120M);1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;840;Services de transport;;Grille horaire provisoire n°3.;;;;03;NIVEAU 3
50025524;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;255;ELECTRICITE, ELECTRONIQUE;S;PRODUCTION;;CAP;ELECTRICIEN;ELECTRICIEN (CAP);01/09/2018;;50025523;;;;;;;;;;;;;;;2020;;08/02/2018;;31/08/2018;19/04/2019;;;;;;;;;;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;5;1;;522;Electricité et énergie;;GH unique. PFMP 14 semaines;;0713;Électricité et énergie;03;NIVEAU 3
50023434;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;234;TRAVAIL DU BOIS ET DE L'AMEUBLEMENT;V;PRODUCTION A CARACTERE ARTISTIQUE;503692;CAP;FACTEUR DE GUITARE;FACTEUR DE GUITARE (CAP);23/08/1990;31/08/2002;;;;;;;;50032310;50032311;50032312;50032313;;;;O;1992;2002;23/08/1990;05/09/2001;;;;;;;;;;;REMPLACE  (avec les CAP 50023434V & 50023436V) PAR LE CAP ASSISTANT TECHNIQUE EN INSTRUMENTS DE  MUSIQUE A  4 OPTIONS (50032310V, 50032311V,50032312V, 50032313V).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;215;Artisanat;;1CAP2, 1CAP3 & 2CAP3 fermés avec retard d'1an (Cf date de publication de l'arrêté).;;;;03;NIVEAU 3
50023445;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;234;TRAVAIL DU BOIS ET DE L'AMEUBLEMENT;S;PRODUCTION;;CAP;EBENISTE;EBENISTE (CAP);01/09/2017;;50023437;;;;;;;;;;;;;;;2019;;27/02/2017;;;;;;;;;;;;;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;5;1;;543;Matériaux (bois, papier, plastique, verre);;GH unique. PFMP 12 semaines;;0722;Matériaux (verre, papier, plastique et bois);03;NIVEAU 3
36321002;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;210;SPEC.PLURIVAL.DE L'AGRONOMIE & AGRICULT.;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;CSA NIV3;HYDRAULIQUE AGRICOLE;HYDRAULIQUE AGRICOLE (CSA);29/01/1985;;;;;;;;;;;;;;;;;1985;2000;29/01/1985;09/06/1999;09/06/1999;;;;;;;;;;JO 20/02/85-23/06/99 PB. Ce CSA a été fermé au 31/08/2000 suite à une rénovation sans chgt de nom. Le code diplôme n'a pas été recréé. Il est réouvert le 25/02/2020;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;BCN AGRI;05/04/2021;1;0;;621;Production agricole et animale;;;;;;05;NIVEAU 5
90099902;900;ATTESTATION DE SECURITE ROUTIERE;999;SPECIALITE NON SPECIFIEE;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;ASSR2;ATT SCO SECURITE ROUTIERE 2ND NIV;Attestation scolaire de sécurité routière de second niveau;;;;;;;;;;;;;;;;;;2006;;;;;;;;;;;;;;;0;NON SPECIFIEE;;10/12/2020;0;0;;010;Programmes de base (péprimaires ...secondaires);;;;0011;Programmes et certifications de base;99;INDETERMINE
56322101;563;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 5;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;S;PRODUCTION;;CSA NIV5;CHEF FROMAGER PRODUCT TRADIT EST;CHEF FROMAGER D'ATELIERS DE PRODUCTION TRADITIONNELLE DE L'EST CENTRAL (CSA);15/02/1996;31/08/2001;;;;;;;;;;;;;;;;1985;2000;22/08/1984;09/06/1999;;;;;;;;;;;JO01/09/84-23/06/99 Remplacé par CSA de niv4 Technicien spécialisé en transformation laitière. Session de rattrapage 2001;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;10/12/2020;0;0;;541;Traitement des produits alimentaires;;;;;;03;NIVEAU 3
01025106;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;S;PRODUCTION;521081;MC5;RECTIFICATION (MC5);RECTIFICATION (MC AUX CAP ET BEP);12/08/1987;31/08/1994;50025102;;;;;;;01025113;;;;;;;N;1988;1994;12/08/1987;02/09/1993;13/05/1991;;;;;;;;;;SA CREATION A ETE LIEE A L'ABROGATION DU CAP RECTIFIEUR (50025102S). REMPLACEE PAR LA MC4 OPERATEUR REGLEUR DES SYSTEMES DE RECTIFICATION (01025113U).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;999;INCONNU ou non précisé;;Même MC pour le niveau 5 que la MC de niveau 4 de même intitulé (01025101S) créée en double lors de l'ancienne codification (par groupe de métiers).;;;;03;NIVEAU 3
01025104;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;U;CONDUITE SURVEILLANCE DE MACHINES;521046;MC5;OP.REGL.MACHIN.OUT.COMDE.NUM(MC5);OPERATEUR REGLEUR SUR MACHINE-OUTIL A COMMANDE NUMERIQUE (MC AUX CAP ET BEP);31/08/1984;31/08/1994;;;;;;;;01025112;;;;;;;N;1985;1994;31/08/1984;02/09/1993;06/05/1986;06/01/1987;03/07/1987;29/03/1988;13/05/1991;;;;;;REMPLACEE PAR LA MC OPERATEUR REGLEUR DE MACHINES A COMMANDES NUMERIQUES (01025112S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
50032499;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;324;SECRETARIAT, BUREAUTIQUE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;CAP;SECRETARIAT, BUREAUTIQUE;SECRETARIAT, BUREAUTIQUE;01/09/2004;31/08/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Support créé par groupe de spécialités pour Mef académiques CAP 3 ans.;S;GROUPEMENT STATISTIQUE;DGESCO A2-3;10/12/2020;0;3;;346;Secrétariat et travail de bureau;;;;;;03;NIVEAU 3
01025103;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;R;CONTROLE PREVENTION ENTRETIEN;521026;MC5;MECA.CIRCUIT.OLEOHYDR.PNEUM.(MC5);MECANICIEN EN CIRCUITS OLEOHYDRAULIQUES ET PNEUMATIQUES (MC AUX CAP ET BEP);16/08/1963;31/08/2000;;;;;;;;01025117;;;;;;;N;1964;1999;16/08/1963;27/07/1999;14/11/1963;24/02/1975;03/05/1982;02/08/1984;06/01/1987;11/12/1990;13/05/1991;;;;REMPLACEE PAR LA MC5 REALISATION DE CIRCUITS OLEOHYDRAULIQUES & PNEUMATIQUES (01025117S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;521;Mécanique et travail du métal;;Mef & Diplôme fermés avec retard d'1 an.;;;;03;NIVEAU 3
01025102;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;U;CONDUITE SURVEILLANCE DE MACHINES;521022;MC5;MECA.REGL.MET.TISS.SOIER.AM.(MC5);MECANICIEN REGLEUR DE METIER A TISSER EN SOIERIES D'AMEUBLEMENT (MC AU CAP);27/09/1960;31/08/1999;;;;;;;;;;;;;;;N;1961;;27/09/1960;01/01/1998;;;;;;;;;;;FERMEE lors de la préparation de RS 1999 bien qu'il n'y ait aucun arrêté d'abrogation. Serait rattachée à des CAP et BEP abrogés.;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;521;Mécanique et travail du métal;;Selon une information du bureau des CPC donnée le 25/01/1999) cette MC est rattachée à des CAP & BEP abrogés. Elle n'a donc plus lieu d'être maintenue. Pas d'inscrits (ne figure même pas dans la BCP).;;;;03;NIVEAU 3
01025101;010;MENTION COMPLEMENTAIRE;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;S;PRODUCTION;461001;MC4;RECTIFICATION (MC4);RECTIFICATION (MC AUX BTN);12/08/1987;31/08/1997;;;;;;;;01025113;;;;;;;N;1988;1994;12/08/1987;02/09/1993;13/05/1991;;;;;;;;;;REMPLACEE PAR LA MC4 OPERATEUR REGLEUR DES SYSTEMES DE.RECTIFICATION (01025113U).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;521;Mécanique et travail du métal;;Fermeture régularisée lors de la préparation de rentrée scolaire 1997.;;;;04;NIVEAU 4
01025001;010;MENTION COMPLEMENTAIRE;250;SPEC.PLURITECHNO MECANIQUE-ELECTRICITE;R;CONTROLE PREVENTION ENTRETIEN;521128;MC5;ENTR.DEPAN.MAT.ELECTROMENAG.(MC5);ENTRETIEN ET DEPANNAGE DES MATERIELS ELECTROMENAGERS (MC AU CAP);21/01/1981;31/08/1994;;;;;;;;;;;;;;;N;1981;1989;21/01/1981;31/08/1988;13/04/1981;18/02/1983;;;;;;;;;ABROGEE.;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;1;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
51025404;510;BREVET D'ETUDES PROFESSIONNELLES;254;STRUCTURES METALLIQUES;S;PRODUCTION;;BEP;REALIS.OUV.CHAUDRON. STRUCT.METAL;REALISATION D'OUVRAGES CHAUDRONNES ET DE STRUCTURES METALLIQUES (BEP);01/09/2000;31/08/2010;51025401;;;;;;;50025435;;;;;;;;2002;2010;21/10/1999;12/05/2009;;;;;;;;;;;A REMPLACE LE BEP STRUCTURES METALLIQUES (51025401S). ABROGE A L'OCCASION DE LA CREATION DU 50025435S.;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;3;;521;Mécanique et travail du métal;;Grille horaire n°1 Production.;;;;03;NIVEAU 3
50034401;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;344;SECURITE DES BIENS ET DES PERSONNES;T;REALISATION DU SERVICE;504607;CAP;AGENT PREVENTION ET SECURITE;AGENT DE PREVENTION ET DE SECURITE (CAP);18/09/1989;31/08/2002;;;;;;;;50034403;;;;;;;O;1991;2002;18/09/1989;27/08/2001;;;;;;;;;;;REMPLACE PAR LE CAP DE MÊME INTITULE (50034403T).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;861;Protection des biens et des personnes;;1CAP2, 1CAP3 & 2CAP3 fermés avec retard d'1an (Cf date de publication de l'arrêté).;;;;03;NIVEAU 3
