FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;N_NIVEAU_FORMATION_DIPLOME.LIBELLE_100;GROUPE_SPECIALITE;N_GROUPE_SPECIALITE.LIBELLE_LONG;LETTRE_SPECIALITE;N_LETTRE_SPECIALITE.LIBELLE_LONG;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;N_NATURE_FORMATION_DIPLOME.LIBELLE_100;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;ID_DOCUMENT;CITE_DOMAINE_FORMATION;N_CITE_DOMAINE_FORMATION.LIBELLE_EDITION;DIPLOME_SISE;N_DIPLOME_SISE.LIBELLE_INTITULE_1;HABILITATION_ORIGINE;NUMERO_UAI;N_COMMENTAIRE;CITE_DOMAINE_DETAILLE;N_CITE_2013_DOMAINE_DETAILL.LIBELLE_EDITION;NIVEAU_QUALIFICATION_RNCP;N_NIVEAU_QUALIFICATION_RNCP.LIBELLE_LONG
25022243;250;LICENCE PROFESSIONNELLE;222;TRANSFORMATIONS CHIMIQUES ET APPARENTEES;R;CONTROLE PREVENTION ENTRETIEN;;LIC-PRO;QUALITE DS LABO ANALYSE MEDICALE;INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES SPE QUALITE DANS LES LABORATOIRES D'ANALYSE MEDICALE (LP BORDEAUX 2);01/09/2009;31/08/2016;;;;;;;;;;;;;;;;remplace par le 25022275;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;524;Chimie et g�nie des proc�d�s;2006840;INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES;20091054;0333298F;;0711;Ing�nierie chimique et processus;06;NIVEAU 6
25022716;250;LICENCE PROFESSIONNELLE;227;ENERGIE, GENIE CLIMATIQUE;N;CONCEPTION;;LIC-PRO;MAITR ENERJ ELECTR DVLPT DURABLE;MAITRISE DE L'ENERGIE, ELECTRICITE, DEVELOPPEMENT DURABLE (LP NICE);01/09/2009;31/08/2023;;;;;;;;;;;;;;;;anc hab 20090914;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;580;Architecture et b�timent;2400070;MAITRISE DE L'ENERGIE, ELECTRICITE, DEVELOPPEMENT DURABLE;20180451;0060931E;;0730;Architecture et b�timent;06;NIVEAU 6
20533510;205;LICENCE LMD;335;ANIMATION CULTUREL.,SPORTIV.& DE LOISIRS;T;REALISATION DU SERVICE;;LIC LMD;STAPS EDUC MOTRICITE;SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : EDUCATION ET MOTRICITE (LIC LMD);01/09/2019;;;;;;;;;;;;;;;;;rncp 35972;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;12/05/2022;;813;Sports;2300193;SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : EDUCATION ET MOTRICITE;;;;1014;Sports;06;NIVEAU 6
25023212;250;LICENCE PROFESSIONNELLE;232;BATIMENT : CONSTRUCTION ET COUVERTURE;R;CONTROLE PREVENTION ENTRETIEN;;LIC-PRO;BATIMENTS BASSE CONSO ENERGIE;BATIMENT ET CONSTRUCTION SPE BATIMENTS A BASSE CONSOMMATION D'ENERGIE (LP MARNE LA VALLEE);01/09/2009;31/08/2015;;;;;;;;;;;;;;;;remplace acvec le 25022718 par le 25023218;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;582;B�timent et g�nie civil;2006691;BATIMENT ET CONSTRUCTION;20091028;0772502B;;0732;Construction et g�nie civil;06;NIVEAU 6
25032671;250;LICENCE PROFESSIONNELLE;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;INTEGR SYST VOIX DONNEES;RESEAUX ET TELECOMMUNICATIONS SPE INTEGRATION DES SYSTEMES VOIX-DONNEES (LP REIMS);01/09/2009;31/08/2018;;;;;;;;;;;;;;;;remplace avec lle 2503260R par le 2503262G;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;481;Sciences informatiques;2003562;RESEAUX ET TELECOMMUNICATIONS;20050764;0511296G;;0612;Conception et administration de bases de donn�es et de r�seau;06;NIVEAU 6
25033422;250;LICENCE PROFESSIONNELLE;334;ACCUEIL, HOTELLERIE, TOURISME;P;ORGANISATION GESTION;;LIC-PRO;ORG GESTION ETAB HOTELIERS RESTAU;ORGANISATION ET GESTION DES ETABLISSEMENTS HOTELIERS ET DE RESTAURATION (LP CERGY);01/09/2009;31/08/2020;;;;;;;;;;;;;;;;cfa sacef remplace hab 20100236;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;811;H�tellerie et services de restauration;2400158;ORGANISATION ET GESTION DES ETABLISSEMENTS HOTELIERS ET DE RESTAURATION;20150615;0951793H;;1013;H�tellerie et services de restauration;06;NIVEAU 6
16531213;165;DIPLOME GRADE ET VISE MASTER;312;COMMERCE, VENTE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER GR;GR MASTER SKEMA NICE;DIPLOME PROGRAMME GRANDE ECOLE DE SKEMA NICE;01/09/2009;31/08/2016;;;;;;;;;;;;;;;;cfaim SKEMA buisiness school mise � jour intitul� en 2013 ex GM CERAM SOPHIA ANTIPOLIS;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;06/01/2021;;345;Gestion et administration;M000042;DIPLOME DE SKEMA NICE - PGE;;0060656F;;0413;Gestion et administration;07;NIVEAU 7
13511704;135;MASTER PROFESSIONNEL;117;SCIENCES DE LA TERRE;C;APPLICATIONS SCIENTIFIQUES;;MASTER PRO;RISQUES ET ENVIRONNEMENT;RISQUES ET ENVIRONNEMENT (MASTER CORSE);01/09/2009;31/08/2023;;;;;;;;;;;;;;;;anc hab 20042261 sise 2215093;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;440;Sciences physiques;2500241;RISQUES ET ENVIRONNEMENT;20180464;7200664J;;0530;Sciences physiques;07;NIVEAU 7
13531342;135;MASTER PROFESSIONNEL;313;FINANCES, BANQUE, ASSURANCES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER 1;FINANCE CONTROLE COMPTABILITE;DROIT, ECONOMIE, GESTION : FINANCE, CONTROLE, COMPTABILITE (MASTER 1 LORRAINE);01/09/2009;31/08/2018;;;;;;;;;;;;;;;;cfa banque finanxce remplace le 14531301;T;ANNEE COMMUNE OU TRONC COMMUN;DEPPA1;10/12/2020;;343;Finance, banque, assurance;;;20130223;0542493S;;0412;Finance, banque et assurances;07;NIVEAU 7
13531237;135;MASTER PROFESSIONNEL;312;COMMERCE, VENTE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;MARKETING, VENTE;MARKETING, VENTE (MASTER POITIERS);01/09/2009;31/08/2023;;;;;;;;;;;;;;;;anc hab 20081724 sise 2216694;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;341;Vente en gros et au d�tail;2500023;MARKETING, VENTE;20181134;0860856N;;0416;Vente en gros et au d�tail;07;NIVEAU 7
25021008;250;LICENCE PROFESSIONNELLE;210;SPEC.PLURIVAL.DE L'AGRONOMIE & AGRICULT.;T;REALISATION DU SERVICE;;LIC-PRO;AGRICULTURE BIO CONSEIL ET DEVPMT;AGRONOMIE SPE AGRICULTURE BIOLOGIQUE : CONSEIL DEVELOPPEMENT (LP CLERMONT 2);01/09/2010;31/08/2017;;;;;;;;;;;;;;;;remplace par le 25021018;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;620;Agriculture, sylviculture et halieutique;2006129;AGRONOMIE;20080333;0631525R;;0888;Domaine interdisciplinaire agriculture, sylviculture et halieutique et sciences v�t�rinaires;06;NIVEAU 6
13532201;135;MASTER PROFESSIONNEL;322;TECHNIQUES D'IMPRIMERIE ET D'EDITION;P;ORGANISATION GESTION;;MASTER PRO;METIERS DU LIVRE ET DE L'EDITION;METIERS DU LIVRE ET DE L'EDITION (MASTER MARNE LA VALLEE);01/09/2010;31/08/2020;;;;;;;;;;;;;;;;cfa descartes remplace sise 2214226 hab 20050649;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;220;Lettres (tout);2500131;METIERS DU LIVRE ET DE L'EDITION;20150535;0772502B;;0220;Lettres (� l'exception des langues);07;NIVEAU 7
25031283;250;LICENCE PROFESSIONNELLE;312;COMMERCE, VENTE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;COMMERCE SOLUTIONS DEVLPT DURABLE;COMMERCE SPE COMMERCIALISATION DE SOLUTIONS ASSOCIEES AU DEVELOPPEMENT DURABLE (LP MARNE LA VALLEE);01/09/2010;31/08/2015;;;2015;;;;;;;;;;;;;cfa descarte remplace avec le 25031016 par le 2503120Y;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;341;Vente en gros et au d�tail;2007721;COMMERCE;20100410;0772502B;;0416;Vente en gros et au d�tail;06;NIVEAU 6
13533004;135;MASTER PROFESSIONNEL;330;SPECIALITES PLURIV.SANITAIRES & SOCIALES;P;ORGANISATION GESTION;;MASTER PRO;INGIERIE DE LA PROTECTION SOCIALE;DROIT, ECONOMIE, GESTION : MANAGEMENT DES ORGANISATIONS SANITAIRES ET SOCIALES SPE INGENIERIE DE LA PROTECTION SOCIALE (MASTER MARNE LA VALLEE);01/09/2010;31/08/2015;;;;;;;;;;;;;;;;remplace avec le 13533203 par le 13533204;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;700;SANTE ET PROTECTION SOCIALE;2215693;DROIT, ECONOMIE, GESTION : MANAGEMENT DES ORGANISATIONS SANITAIRES ET SOCIALES;20100291;0772502B;;0900;Sant� et protection sociales;07;NIVEAU 7
13513608;135;MASTER PROFESSIONNEL;136;LANGUES VIVANTES, CIVILISATIONS ETRANG.;G;APPLICATIONS AUX ACTIVITES DE SERVICES;;MASTER PRO;LANGUES ETRANGERES APPLIQUEES;LANGUES ETRANGERES APPLIQUEES (MASTER MARNE LA VALLEE);01/09/2010;31/08/2020;;;;;;;;;;;;;;;;cfa descartes remplace sise 2212715 hab 20050631;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;222;Langues et cultures �trang�res;2500141;LANGUES ETRANGERES APPLIQUEES;20150534;0772502B;;0231;Acquisition d'une langue;07;NIVEAU 7
13531061;135;MASTER PROFESSIONNEL;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;MANAGT ORG SANTE MEDICOSOC;DROIT, ECONOMIE, GESTION : ADMINISTRATION DES ENTREPRISES SPE MANAGEMENT DES ORGANISATIONS DE SANTE ET MEDICO-SOCIALES (MASTER STRASBOURG);01/09/2009;31/08/2018;;;;;;;;;;;;;;;;anc sise 2201890 EM Strsbg CFAU;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2206530;DROIT, ECONOMIE, GESTION : ADMINISTRATION DES ENTREPRISES;20090422;0673021V;;0413;Gestion et administration;07;NIVEAU 7
13533203;135;MASTER PROFESSIONNEL;332;TRAVAIL SOCIAL;P;ORGANISATION GESTION;;MASTER PRO;ECONOMIE SOCIALE ET SOLIDAIRE;ECONOMIE SOCIALE ET SOLIDAIRE (MASTER MARNE LA VALLEE);01/09/2010;31/08/2015;;;;;;;;;;;;;;;;remplace avec le 13533004 par le 13533204;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;700;SANTE ET PROTECTION SOCIALE;2500011;ECONOMIE SOCIALE ET SOLIDAIRE;20100291;0772502B;;0900;Sant� et protection sociales;07;NIVEAU 7
13534318;135;MASTER PROFESSIONNEL;343;NETTOYAGE, ASSAIN., PROTECTION ENVIRONMT;P;ORGANISATION GESTION;;MASTER PRO;MGT ET INGIE SERVICES A L'ENVIRON;SCIENCES, TECHNOLOGIES, SANTE : GENIE URBAIN SPE MANAGEMENT ET ING�NIERIE DES SERVICES � L'ENVIRONNEMENT (MASTER MARNE LA VALLEE);01/09/2010;31/08/2015;;;;;;;;;;;;;;;;demande CFA Descartes;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;850;Protection de l'environnement;2213795;SCIENCES, TECHNOLOGIES, SANTE : GENIE URBAIN;20041888;0772502B;;0521;Sciences environnementales;07;NIVEAU 7
25020078;250;LICENCE PROFESSIONNELLE;200;TECHNOLOGIES INDUSTRIELLES FONDAMENTALES;N;CONCEPTION;;LIC-PRO;MAINTENANCE TECHNO SYSTM PLURITEC;MAINTENANCE ET TECHNOLOGIE : SYSTEMES PLURITECHNIQUES (LP REIMS);01/09/2010;31/08/2023;;;;;;;;;;;;;;;;anc hab 20034170;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;500;INGENIERIE, INDUSTRIE DE TRANSFORMATION ET DE PRODUCTION;2400068;MAINTENANCE ET TECHNOLOGIE : SYSTEMES PLURITECHNIQUES;20180082;0511296G;;0700;Ing�nierie, industries de transformation et construction;06;NIVEAU 6
25022506;250;LICENCE PROFESSIONNELLE;225;PLASTURGIE, MATERIAUX COMPOSITES;S;PRODUCTION;;LIC-PRO;INDUSTR MO MATERIAUX COMPOSITES;PLASTURGIE ET MATERIAUX COMPOSITES SPE INDUSTRIALISATION ET MISE EN OEUVRE DES MATERIAUX COMPOSITES (LP NANTES);01/09/2010;31/08/2017;;;;;;;;;;;;;;;;emplace par le 25022020 avec le 25022006;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;543;Mat�riaux (bois, papier, plastique, verre);2006784;PLASTURGIE ET MATERIAUX COMPOSITES;20090982;0440984F;;0722;Mat�riaux (verre, papier, plastique et bois);06;NIVEAU 6
25031342;250;LICENCE PROFESSIONNELLE;313;FINANCES, BANQUE, ASSURANCES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;ASSURANCE BQ FCE CHARGE CLIENTELE;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE (LP LYON 2);01/09/2009;31/08/2022;;;;;;;;;;;;;;;;cfa banque anc hab 20014008;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;343;Finance, banque, assurance;2400019;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE;20160354;0691775E;;0412;Finance, banque et assurances;06;NIVEAU 6
25031343;250;LICENCE PROFESSIONNELLE;313;FINANCES, BANQUE, ASSURANCES;N;CONCEPTION;;LIC-PRO;ASSURANCE BQ FCE CHARGE CLIENTELE;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE (LP ORLEANS);01/09/2009;31/08/2023;;;;;;;;;;;;;;;;anc hab20024066;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;343;Finance, banque, assurance;2400019;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE;20180798;0450855K;;0412;Finance, banque et assurances;06;NIVEAU 6
25031344;250;LICENCE PROFESSIONNELLE;313;FINANCES, BANQUE, ASSURANCES;N;CONCEPTION;;LIC-PRO;ASSURANCE BQ FCE CHARGE CLIENTELE;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE (LP TOURS);01/09/2009;31/08/2023;;;;;;;;;;;;;;;;anc hab 20050190;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;343;Finance, banque, assurance;2400019;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE;20180798;0370800U;;0412;Finance, banque et assurances;06;NIVEAU 6
13533108;135;MASTER PROFESSIONNEL;331;SANTE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;COORD ETUDES DOMAINE SANTE;SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE-SANTE SPE COORDINATEUR D'ETUDES DANS LE DOMAINE DE LA SANTE (MASTER VERSAILLES);01/09/2010;31/08/2015;;;2015;;;;;;;;;;;;;remplace par le 13533116 paris saclay;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;720;Sant�;2215982;SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE - SANTE;20042456;0781944P;;0910;Sant�;07;NIVEAU 7
20533511;205;LICENCE LMD;335;ANIMATION CULTUREL.,SPORTIV.& DE LOISIRS;T;REALISATION DU SERVICE;;LIC LMD;STAPS ENTRAINEMENT SPORTIF;SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : ENTRAINEMENT SPORTIF (LIC LMD);01/09/2019;;;;;;;;;;;;;;;;;rncp 35946;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;12/05/2022;;813;Sports;2300189;SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : ENTRAINEMENT SPORTIF;;;;1014;Sports;06;NIVEAU 6
20531020;205;LICENCE LMD;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC LMD;ECONOMIE;ECONOMIE (LIC LMD);01/09/2016;;;;;;;;;;;;;;;;;rncp 24424;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;03/03/2022;;345;Gestion et administration;2300003;ECONOMIE;20141169;0753471R;;0413;Gestion et administration;06;NIVEAU 6
25021203;250;LICENCE PROFESSIONNELLE;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;W;COMMERCIALISATION;;LIC-PRO;CCE CONSEIL COOP BETAIL VIANDE;PRODUCTIONS ANIMALES SPE COMMERCE ET CONSEIL AUX ADHERENTS DE COOPERATIVES-FILIERES BETAIL ET VIANDE (LP VERSAILLES);01/09/2010;31/08/2015;;;;;;;;;;;;;;;;cfa cez rambouillet remplace par une LP de l'universit� d'Angers 25021204;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;640;Sciences v�t�rinaires;2007767;PRODUCTIONS ANIMALES;20100445;0781944P;;0841;Sciences v�t�rinaires;06;NIVEAU 6
13512836;135;MASTER PROFESSIONNEL;128;DROIT, SCIENCES POLITIQUES;G;APPLICATIONS AUX ACTIVITES DE SERVICES;;MASTER PRO;SC ORGANISATIONS DROIT;SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : DROIT (MASTER DAUPHINE);01/09/2010;31/08/2019;;;;;;;;;;;;;;;;demande formasup paris;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;380;Droit;2215349;SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : DROIT;20091082;0750736T;;0421;Droit;07;NIVEAU 7
25033426;250;LICENCE PROFESSIONNELLE;334;ACCUEIL, HOTELLERIE, TOURISME;W;COMMERCIALISATION;;LIC-PRO;DISTRIBUTION TOURISTIQUE;HOTELLERIE ET TOURISME SPE DISTRIBUTION TOURISTIQUE (LP PARIS 1);01/09/2010;31/08/2019;;;;;;;;;;;;;;;;cfa Stephenson;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;811;H�tellerie et services de restauration;2007746;HOTELLERIE ET TOURISME;20100129;0751717J;;1013;H�tellerie et services de restauration;06;NIVEAU 6
20512207;205;LICENCE LMD;122;ECONOMIE;G;APPLICATIONS AUX ACTIVITES DE SERVICES;;LIC LMD;ECONOMIE ET GESTION PARIS 12;ECONOMIE ET GESTION (LIC PARIS 12);01/09/2009;31/08/2020;;;;;;;;;;;;;;;;remplace les codes 20512203 et 20512202;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2300005;ECONOMIE ET GESTION;20141045;0941111X;;0413;Gestion et administration;06;NIVEAU 6
25031352;250;LICENCE PROFESSIONNELLE;313;FINANCES, BANQUE, ASSURANCES;T;REALISATION DU SERVICE;;LIC-PRO;ASSURANCE BQ FCE CHARGE CLIENTELE;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE (LP PARIS 5);01/09/2010;31/08/2019;;;;;;;;;;;;;;;;anc hab 20100702 demande CFPB IdeFce;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;343;Finance, banque, assurance;2400019;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE;20151232;0751721N;;0412;Finance, banque et assurances;06;NIVEAU 6
56Z25401;56Z;TH DE NIV 5 NON PRECISE;254;STRUCTURES METALLIQUES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;CQP;CQP PEINTRE ANTICORROSION;PEINTRE ANTICORROSION (CQP FFB);01/09/2009;31/08/2015;;;;01/07/2008;06/07/2013;;;;;;;;;;;rncp 6036 fed francaise du batiment;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;10/12/2020;;521;M�canique et travail du m�tal;;;;;;0715;M�canique et techniques apparent�es;03;NIVEAU 3
13531241;135;MASTER PROFESSIONNEL;312;COMMERCE, VENTE;N;CONCEPTION;;MASTER PRO;MANAGEMENT DES ETUDES MARKETING;DROIT, ECONOMIE, GESTION : MANAGEMENT SPE MANAGEMENT DES ETUDES MARKETING (MASTER CERGY);01/09/2010;31/08/2015;;;2015;;;;;;;;;;;;;cfa sacef et gestion bureautique remplace par le 1353101C;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;340;Commerce et administration;2215687;DROIT, ECONOMIE, GESTION : MANAGEMENT;20100395;0951793H;;0410;Commerce et administration;07;NIVEAU 7
13531070;135;MASTER PROFESSIONNEL;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;N;CONCEPTION;;MASTER PRO;MANAGT STRATEGIQUE ET CHANGEMENT;DROIT, ECONOMIE, GESTION : SCIENCES DU MANAGEMENT SPE MANAGEMENT STRATEGIQUE ET CHANGEMENT (MASTER VERSAILLES);01/09/2010;31/08/2015;;;2015;;;;;;;;;;;;;remplace par le 1353100H;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2210726;DROIT, ECONOMIE, GESTION : SCIENCES DU MANAGEMENT;20042343;0781944P;;0413;Gestion et administration;07;NIVEAU 7
13531073;135;MASTER PROFESSIONNEL;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;MANAGEMENT DES TIC;DROIT, ECONOMIE, GESTION : MANAGEMENT SPE MANAGEMENT DES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION (MASTER CERGY);01/09/2010;31/08/2015;;;2015;;;;;;;;;;;;;cfa sacef remplace par le 1353101C;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2215688;DROIT, ECONOMIE, GESTION : MANAGEMENT;20100395;0951793H;;0413;Gestion et administration;07;NIVEAU 7
13531421;135;MASTER PROFESSIONNEL;314;COMPTABILITE, GESTION;R;CONTROLE PREVENTION ENTRETIEN;;MASTER PRO;COMPTABILITE CONTROLE AUDIT;SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : COMPTABILITE, CONTROLE, AUDIT (MASTER DAUPHINE);01/09/2009;31/08/2019;;;;;;;;;;;;;;;;demande formasup paris;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2212991;SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : COMPTABILITE, CONTROLE, AUDIT;20091070;0750736T;;0413;Gestion et administration;07;NIVEAU 7
13531422;135;MASTER PROFESSIONNEL;314;COMPTABILITE, GESTION;R;CONTROLE PREVENTION ENTRETIEN;;MASTER PRO;COMPTABILITE-CONTROLE-AUDI;COMPTABILITE-CONTROLE-AUDIT (MASTER EVRY);01/09/2010;31/08/2020;;;;;;;;;;;;;;;;Demande CFA agesup EVRY;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2500020;COMPTABILITE-CONTROLE-AUDIT;20150331;0911975C;;0413;Gestion et administration;07;NIVEAU 7
13532648;135;MASTER PROFESSIONNEL;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;INFORMATIQUE;INFORMATIQUE (MASTER VALENCIENNES);01/09/2010;31/08/2020;;;;;;;;;;;;;;;;Universit� Valenciennes et du Hainaut-Cambresis Institut des sciences et techniques de Val (ISTV);1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;481;Sciences informatiques;2500164;INFORMATIQUE;20150369;0593279U;;0612;Conception et administration de bases de donn�es et de r�seau;07;NIVEAU 7
25023050;250;LICENCE PROFESSIONNELLE;230;SPEC.PLURITECHNO, GENIE CIVIL, CONSTRUC.;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;BTP BATIMENT ET CONSTRUCTION;METIERS DU BTP : BATIMENT ET CONSTRUCTION (LP NANTES);01/09/2017;31/08/2023;;;;;;;;;;;;;;;;remplace les 25023025 et 25023217;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;582;B�timent et g�nie civil;2400142;METIERS DU BTP : BATIMENT ET CONSTRUCTION;20170817;0440984F;;0732;Construction et g�nie civil;06;NIVEAU 6
25032681;250;LICENCE PROFESSIONNELLE;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;R;CONTROLE PREVENTION ENTRETIEN;;LIC-PRO;ADM SECURIT DES SYSTM ET DES RESX;METIERS DE L'INFORMATIQUE : ADMINISTRATION ET SECURITE DES SYSTEMES ET DES RESEAUX (LP CAEN);01/09/2009;31/08/2022;;;;;;;;;;;;;;;;IUT CAEN;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;481;Sciences informatiques;2400128;METIERS DE L'INFORMATIQUE : ADMINISTRATION ET SECURITE DES SYSTEMES ET DES RESEAUX;20170141;0141408E;;0612;Conception et administration de bases de donn�es et de r�seau;06;NIVEAU 6
